No,EXPEDIENTE,CODIGO OSINERGMIN,REGISTRO,RUC,RAZON SOCIAL,DIRECCION OPERATIVA,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO DE ESTABLECIMIENTO,TANQUE 1,TANQUE 2,TANQUE 3,TANQUE 4,TANQUE 5,TANQUE 6,TANQUE 7,TANQUE 8,TANQUE 9,TANQUE 10,CAP.TOTAL CL (gln),FEC. EMISION,TÉRMINO DE VIGENCIA,REPRESENTANTE,GLP EN CILINDROS (kg),lat,lng
1,202300066799,113840,113840-050-290323,20600438051,ESTACION DE SERVICIOS BOQUERON S.A.C.,CAR.FEDERICO BASADRE KM. 177 C.P. BOQUERON ,UCAYALI,PADRE ABAD,PADRE ABAD,ESTACIONES DE SERVICIOS,C1:10000:DIESEL B5 ,C1:5000:GASOLINA 90 C2:5000:GASOLINA 90 ,,,,,,,,,20000.0,29/03/2023,INDEFINIDO,"CANTARO JAVIER, CESAR PAUL",0,-9.0458223,-75.5085418
2,202200123413,120796,120796-050-240822,20602783147,PETROCENTROS UNIDOS MINORISTAS ARRASCUE SERRANO E.I.R.L.,PREDIO QUEVEDO MZ. A LOTES 1 Y 2,LA LIBERTAD,TRUJILLO,MOCHE,ESTACIONES DE SERVICIOS,C1:5390:Diesel B5 S-50 ,C1:2135:GASOHOL 90 PLUS ,,,,,,,,,7525.0,24/08/2022,INDEFINIDO,GENDER ARRASCUE SERRANO,0,-8.0984885,-79.0292786
3,202300079865,19844,19844-050-230423,20601755506,PETROCENTRO LUAND E.I.R.L.,AV. EL EJERCITO Nº 663,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,ESTACIONES DE SERVICIOS,C1:5000:Diesel B5 S-50 ,C1:5000:Diesel B5 S-50 ,C1:5000:GASOHOL REGULAR ,C1:3050:GASOHOL REGULAR ,C1:3050:GASOHOL PREMIUM ,,,,,,21100.0,23/04/2023,INDEFINIDO,LUISA ANDIA PECEROS,240,-13.6589585,-73.3778375
4,201500167478,116412,116412-050-151215,10732315638,ALEXANDERS ARRIAGA HUAMAN,PISTA HUACARPAY - HUAMBUTIO CENTRO POBLADO ANEXO ILLAPATA,CUSCO,QUISPICANCHI,LUCRE,ESTACIONES DE SERVICIOS,C1:9000:Diesel B5 S-50 ,C1:9000:Diesel B5 S-50 ,C1:5000:GASOHOL 84 PLUS ,C1:5000:GASOHOL 90 PLUS ,,,,,,,28000.0,15/12/2015,INDEFINIDO,ALEXANDERS ARRIAGA HUAMAN,0,-13.5818839,-71.7138844
5,202200137084,97551,97551-050-230822,10282649522,VICENTE FLORES QUISPE,"CIUDAD NUEVA LLOCHEGUA, INTERSECCION DE LA CALLE 4, 5 Y 17 DE LA MZ. O1 ",AYACUCHO,HUANTA,LLOCHEGUA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:3436:Diesel B5 S-50 ,C1:1718:GASOHOL 84 PLUS C2:1718:GASOHOL 90 PLUS ,C1:3250:GASOHOL 84 PLUS C2:3250:GASOHOL 95 PLUS ,C1:6500:GASOHOL 90 PLUS ,C1:6500:Diesel B5 S-50 ,,,,,,26372.0,22/08/2022,23/08/2023,VICENTE FLORES QUISPE,720,-12.4142649,-73.9108079
6,202200181763,20012,20012-050-220922,20490224336,LEOCUPER REPRESENTACIONES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,"AV. INAMBARI MZA. 28, LOTE 13 - MAZUKO",MADRE DE DIOS,TAMBOPATA,INAMBARI,ESTACIONES DE SERVICIOS,C1:5400:Diesel B5 S-50 ,C1:2000:GASOLINA 84 ,C1:1400:Diesel B5 S-50 ,C1:5000:GASOLINA 84 ,C1:5000:GASOLINA 90 ,C1:5000:Diesel B5 S-50 ,,,,,23800.0,22/09/2022,INDEFINIDO,LEONCIO CCORIMANYA USANDIVARES,720,-13.0974726,-70.3682625
7,202300072953,62558,62558-050-200423,10225180721,BERLINA CIERTO ROJAS,LOTE 1 SUBLOTE 3 - ZONA G PARCELACION RUSTICA DEL FUNDO CHACRA CERRO,LIMA,LIMA,COMAS,ESTACIONES DE SERVICIOS,C1:4026:Diesel B5 S-50 ,C1:1646:GASOHOL REGULAR C2:1646:GASOHOL PREMIUM ,C1:2021:GASOHOL PREMIUM ,C1:4000:Diesel B5 S-50 ,C1:2000:GASOHOL PREMIUM C2:2000:GASOHOL REGULAR ,,,,,,17339.0,20/04/2023,INDEFINIDO,BERLINA CIERTO ROJAS,240,-11.9098493,-77.0504198
8,201800000606,133850,133850-050-120118,10096426670,MARCO ANTONIO CORREA VALENZUELA,"SECTOR ILLANYA FRACCION DE LA PARCELA N° 35, CARRET. ABANCAY - CHALHUANCA KM. 07 ",APURIMAC,ABANCAY,ABANCAY,ESTACIONES DE SERVICIOS,C1:9000:Diesel B5 S-50 ,C1:4000:Diesel B5 S-50 ,C1:4000:GASOHOL 90 PLUS ,C1:4000:GASOHOL 95 PLUS ,C1:4000:GASOHOL 97 PLUS ,,,,,,25000.0,12/01/2018,INDEFINIDO,MARCO ANTONIO CORREA VALENZUELA,0,-13.6409983,-72.8814632
9,202100101009,106847,106847-050-120721,10432793961,BUSTAMANTE VALLEJOS MIGUEL ANGEL,KM 2 + 100 CARRETERA FERNANDO BELAUNDE TERRY - SECTOR LOS BOLICHES,LAMBAYEQUE,LAMBAYEQUE,OLMOS,ESTACIONES DE SERVICIOS,C1:2200:Diesel B5 S-50 ,C1:2200:GASOHOL 90 PLUS ,,,,,,,,,4400.0,12/07/2021,INDEFINIDO,MIGUEL ANGEL BUSTAMANTE VALLEJOS,0,-5.9889804,-79.69393939999999
10,201900175165,91157,91157-050-111119,20603239220,ESTACION DE SERVICIO ROBIN E.I.R.L,"AV. LAS ROSAS Nº 620 - AA.HH. LAS ROSAS, MZ. A, LOTE 53, VIA EVITAMIENTO",AYACUCHO,HUAMANGA,JESUS NAZARENO,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:6037:Diesel B5 S-50 ,C1:3227:GASOHOL 84 PLUS ,C1:3227:GASOHOL 90 PLUS ,,,,,,,,12491.0,11/11/2019,INDEFINIDO,MARCIAL JANAMPA CUADROS,0,-13.1594275,-74.2167237
11,202200210041,105948,105948-050-141022,20539043782,SERVICENTRO TROYA E.I.R.L.,MZ. PV 16 LOTE 09 SECTOR PUEBLO VIEJO - PUEBLO TRADICIONAL CERCADO BAGUA GRANDE,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,ESTACIONES DE SERVICIOS,C1:3500:Diesel B5 S-50 C2:1500:GASOLINA 84 ,C1:4000:GASOLINA 90 ,C1:2000:GASOHOL 95 PLUS ,,,,,,,,11000.0,14/10/2022,INDEFINIDO,SEGUNDO JAVIER TROYA DELGADO ,0,-5.7566878,-78.4366479
12,202200117204,137063,137063-050-280622,10286018853,ADINA LIMACHE CARDENAS,ESQUINA AV. LA UNION Y JR. MANRIQUE,AYACUCHO,HUANTA,CANAYRE,ESTACIONES DE SERVICIOS,C1:6000:Diesel B5 S-50 ,C1:3000:GASOHOL 90 PLUS C2:3000:GASOHOL 90 PLUS ,,,,,,,,,12000.0,28/06/2022,28/06/2023,ADINA LIMACHE CARDENAS,480,-12.2819013,-74.0251466
13,201400077024,108495,108495-050-210614,20542838494,SERVICENTRO J. AMERICANO S.A.C.,CARRETERA INTEROCEANICA PUERTO MALDONADO-CUSCO KM. 06 (MARGEN IZQUIERDA),MADRE DE DIOS,TAMBOPATA,TAMBOPATA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:8158:Diesel B5 S-50 ,C1:8158:Diesel B5 S-50 ,C1:8158:Diesel B5 S-50 ,C1:6818:GASOLINA 84 ,C1:2687:GASOLINA 90 ,,,,,,33979.0,21/06/2014,INDEFINIDO,JHON AMERICO HUAMAN SALAS ,0,-12.5881812,-69.2188051
14,202100246303,150451,150451-050-141221,20527939471,R & K CONSTRUCTORES S.A.C.,"COMUNIDAD CAMPESINA DE YANAMA, SECTOR AYLLUMAYO",CUSCO,ANTA,ZURITE,ESTACIONES DE SERVICIOS,C1:8160:Diesel B5 S-50 ,C1:8160:Diesel B5 S-50 ,C1:8160:GASOHOL 90 PLUS ,C1:4060:GASOHOL 90 PLUS C2:4040:GASOHOL 95 PLUS ,,,,,,,32580.0,14/12/2021,INDEFINIDO,DUSAN ROBERT QUISPE CAMARGO ,0,-13.4834259,-72.24642899999999
15,201900050948,115584,115584-050-020419,20542821176,GRIFO REY DAVID EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,CAR. TRES ISLAS KM. 14 C.C. TUPAC AMARU,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:10723:Diesel B5 S-50 ,C1:5290:GASOLINA 84 ,,,,,,,,,16013.0,2/04/2019,INDEFINIDO,NIDIA VILMA HUAINA VEGA DE CALLA,0,-12.8563839,-69.097023
16,201900040728,132404,132404-050-150319,10311439923,JUAN ROQUE LIZUNDE CCOICCA,AVENIDA LA CULTURA S/N,APURIMAC,ANDAHUAYLAS,PACUCHA,ESTACIONES DE SERVICIOS,C1:7331:Diesel B5 S-50 ,C1:1339:GASOHOL 90 PLUS C2:1339:GASOHOL 90 PLUS ,,,,,,,,,10009.0,15/03/2019,INDEFINIDO,JUAN ROQUE LIZUNDE CCOICCA,0,-13.5266611,-73.6694169
17,202300078328,8625,8625-050-220423,20527600546,GRIFO DEL CARMEN E.I.R.L.,JR. LIBERTAD N° 212,CUSCO,LA CONVENCION,SANTA ANA,ESTACIONES DE SERVICIOS,C1:8000:Diesel B5 S-50 ,C1:4000:GASOHOL REGULAR ,C1:2150:GASOHOL 84 PLUS ,,,,,,,,14150.0,21/04/2023,11/09/2023,CARINA HUAMAN MEZA DE EVANS,240,-12.863447,-72.6918436
18,202100219671,8909,8909-050-061021,20605571574,COMERCIALIZADORA DE COMBUSTIBLES SANTIAGO S.A.C.,CARRETERA PANAMERICANA SUR KM. 317.5,ICA,ICA,SANTIAGO,ESTACIONES DE SERVICIOS,C1:2000:GASOHOL 95 PLUS ,C1:4200:GASOHOL 90 PLUS ,C1:1000:GASOHOL 84 PLUS ,C1:3000:SIN PRODUCTO ,C1:5000:Diesel B5 S-50 ,,,,,,15200.0,6/10/2021,INDEFINIDO,CESAR AUGUSTO TRIVEÑO GARCIA,0,-14.184565,-75.7145283
19,202000061095,149611,149611-050-130720,20601448689,COMPAÑIA DE COMBUSTIBLES DEL SUR S.A.C.,AV. VILLARREAL MZ. B LOTE. 33 ANEXO VILLARREAL ,LIMA,CAÑETE,IMPERIAL,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:4500:Diesel B5 S-50 ,C1:3200:GASOHOL 90 PLUS C2:1300:GASOHOL 95 PLUS ,,,,,,,,,9000.0,13/07/2020,INDEFINIDO,LADY DIANA ESPICHAN CANDELA,0,-11.9096403,-77.0335515
20,202200199559,152431,152431-050-261022,20502097840,SUMINISTROS PETROLEROS S.A.C.,"MZ. DN, LOTES 03,07, 8A, 8B, SECTOR EL PALOMAR, ANEXO 22",LIMA,HUAROCHIRI,SAN ANTONIO,ESTACIONES DE SERVICIOS,C1:6000:Diesel B5 S-50 ,C1:2000:GASOHOL 90 PLUS C2:2000:GASOHOL 95 PLUS ,,,,,,,,,10000.0,26/10/2022,INDEFINIDO,MANUEL GODOY MALLQUI,0,-11.9275108,-76.9605163
21,202100291081,160569,160569-050-100322,20603205856,ESTACION DE SERVICIOS LA BONITA S.A.C.,"VÍA DE ACCESO A ACARÍ S/N, SECTOR MUNCHER",AREQUIPA,CARAVELI,ACARI,ESTACIONES DE SERVICIOS,C1:8100:Diesel B5 S-50 ,C1:2100:GASOHOL 90 PLUS C2:2100:GASOHOL 95 PLUS C3:1050:GASOHOL 98 PLUS ,,,,,,,,,13350.0,10/03/2022,INDEFINIDO,ERICK ESTEBAN CASALINO JORDAN,0,-15.4384565,-74.6180833
22,202000033540,42090,42090-050-260220,20452694698,SERVICENTRO POSBEN S.A.C.,CARRETA PANAMERICANA SUR KM 290.7,ICA,ICA,SALAS,ESTACIONES DE SERVICIOS,C1:3000:Diesel B5 S-50 ,C1:3000:GASOHOL 98 PLUS ,C1:3000:GASOHOL 90 PLUS ,C1:3000:GASOHOL 95 PLUS ,C1:6000:Diesel B5 S-50 ,C1:3000:Diesel B5 S-50 ,C1:2000:GASOHOL 84 PLUS ,,,,23000.0,26/02/2020,INDEFINIDO,FELIX GERMAN POSADAS CABRERA,0,-13.9320433,-75.9104798
23,201700122034,130463,130463-050-100817,20601646201,GRIFO VILLA HERMOSA JULIACA S.A.C.,"JR.SUCRE N°1277,ESQUINA CON JR. MIRAFLORES",PUNO,SAN ROMAN,JULIACA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:6586:Diesel B5 S-50 ,C1:3951:GASOHOL 90 PLUS ,C1:3951:GASOHOL 95 PLUS ,C1:6586:GASOHOL 84 PLUS ,,,,,,,21074.0,10/08/2017,INDEFINIDO,HILDA ARO ARO,0,-15.4856422,-70.1230514
24,202000033537,43772,43772-050-260220,10417457220,SORAYDA KALA HUAMAN,"CRUCE CARRETERA PANAMERICANA SUR CON CARRETERA AREQUIPA-MAJES-CAMANA, SECTOR “EL SOLITARIO”",AREQUIPA,CAYLLOMA,MAJES,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:3927:Diesel B5 S-50 ,C1:1947:GASOHOL 90 PLUS ,C1:1957:SIN PRODUCTO ,C1:5260:Diesel B5 S-50 ,,,,,,,13091.0,26/02/2020,INDEFINIDO,SORAYDA KALA HUAMAN,0,-16.3499293,-72.18553949999999
25,201800209483,18587,18587-050-271218,20602517099,ESTACION DE SERVICIOS MARIA ANGELINA & VALENTINA E.I.R.L.,MARISCAL CACERES N° 217,LORETO,ALTO AMAZONAS,YURIMAGUAS,ESTACIONES DE SERVICIOS,C1:6000:DIESEL B5 ,C1:6000:DIESEL B5 ,C1:3000:GASOLINA 84 ,C1:2996:GASOLINA 90 ,C1:3800:SIN PRODUCTO ,,,,,,21796.0,27/12/2018,INDEFINIDO,MARILU FLORES CASTRO,0,-5.8966767,-76.10676269999999
26,202200164538,105492,105492-050-101122,20530043186,ESTACION DE SERVICIOS AYPATE E.I.R.L.,AV. CHANURAN S/N,PIURA,AYABACA,AYABACA,ESTACIONES DE SERVICIOS,C1:1000:GASOHOL 84 PLUS C2:2000:GASOHOL 90 PLUS ,C1:5000:Diesel B5 S-50 ,,,,,,,,,8000.0,10/11/2022,INDEFINIDO,FLORENTINO GARCIA VELASQUEZ,0,-4.6433595,-79.72567230000001
27,201800209468,130362,130362-050-181218,20600626109,CORPORACION GLESB E.I.R.L.,CARRETERA CAMPO ARMIÑO NORESTE L4-09,HUANCAVELICA,TAYACAJA,COLCABAMBA,ESTACIONES DE SERVICIOS,C1:4000:Diesel B5 S-50 ,C1:1500:GASOHOL 90 PLUS C2:1500:GASOHOL 95 PLUS ,,,,,,,,,7000.0,18/12/2018,INDEFINIDO,PEDRO ANTONIO FLORES SINCHI,0,-12.4679321,-74.6350266
28,201700030801,120556,120556-050-020317,20480099720,INVERSIONES Y SERVICIOS ALEX & LALITO EIRL,AV. EUFEMIO LORA Y LORA N° 2450,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,ESTACIONES DE SERVICIOS,"C1:5125:DIESEL B5,Diesel B5 S-50 ","C1:4148:DIESEL B5,Diesel B5 S-50 ",C1:1138:GASOHOL 95 PLUS ,C1:1138:GASOHOL 90 PLUS ,C1:1138:GASOHOL 84 PLUS ,,,,,,12687.0,2/03/2017,INDEFINIDO,EDIS DIAZ PEREZ,0,-6.7557031,-79.8592436
29,201800112619,113006,113006-050-130718,10200647799,MARISOL PALACIOS COLONIO,"CALLE CAMPO ARMIÑO S/N MZ. F-4, SECTOR NOR ESTE",HUANCAVELICA,TAYACAJA,COLCABAMBA,ESTACIONES DE SERVICIOS,C1:5000:Diesel B5 S-50 ,C1:500:GASOHOL 90 PLUS C2:850:GASOHOL 90 PLUS ,,,,,,,,,6350.0,13/07/2018,INDEFINIDO,MARISOL PALACIOS COLONIO,0,-12.4679321,-74.6350266
30,202000059239,145574,145574-050-250520,20600890469,GRIFO SOL DE SELVA S.A.C.,CARRETERA FERNANDO BELAUNDE TERRY KM 68 (CASERIO NUEVA UNION) ,SAN MARTIN,PICOTA,CASPISAPA,ESTACIONES DE SERVICIOS,C1:3000:Diesel B5 S-50 ,C1:3000:Diesel B5 S-50 ,C1:1500:GASOLINA 84 C2:1500:GASOLINA 90 ,,,,,,,,9000.0,25/05/2020,INDEFINIDO,IRMA MILAGROS DELGADO MORALES,0,-6.9283559,-76.39770299999999
31,202300070894,96562,96562-050-310323,20486100215,REPRESENTACIONES SOSA S.A.C.,AV. MANUEL A. PINTO N° 403 SECTOR HUASA HUASI,JUNIN,CHANCHAMAYO,CHANCHAMAYO,ESTACIONES DE SERVICIOS,C1:1500:SIN PRODUCTO ,C1:4100:Diesel B5 S-50 ,C1:4500:GASOHOL REGULAR ,C1:2300:GASOHOL PREMIUM C2:1500:SIN PRODUCTO ,,,,,,,13900.0,31/03/2023,INDEFINIDO,LUCY JOWANY YARO BALBIN,480,-11.058612,-75.3328684
32,202200169121,37465,37465-050-051022,20601223334,PETROLL SUR II S.R.L.,AV. VENEZUELA N° 219,AREQUIPA,AREQUIPA,AREQUIPA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:5000:GASOHOL 90 PLUS ,C1:5000:GASOHOL 90 PLUS ,C1:2000:Diesel B5 S-50 ,C1:2000:Diesel B5 S-50 ,C1:2500:GASOHOL 95 PLUS ,C1:3500:SIN PRODUCTO ,C1:5000:GASOHOL 90 PLUS ,C1:5000:Diesel B5 S-50 ,,,30000.0,5/10/2022,INDEFINIDO,CARLOS RAFAEL JUSTO OVIEDO ,0,-16.4043736,-71.5199324
33,202300035046,166268,166268-050-280223,20609568306,ESTACION DE SERVICIOS LA PERLA DEL HUASCAYACU S.A.C.,JR. BAGUA S/N – CENTRO POBLADO PUEBLO LIBRE,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,ESTACIONES DE SERVICIOS,C1:4000:GASOLINA 90 ,C1:4000:GASOLINA 84 ,C1:3000:Diesel B5 S-50 ,,,,,,,,11000.0,28/02/2023,INDEFINIDO,CASTREJON RAMIREZ WILLAN,0,-5.877680499999999,-77.1226288
34,201900035420,7264,7264-050-070319,20446357396,SERVICENTRO SANTA CLARA S.A.C,CARRETERA HUACHO-SAYAN CRUCE SAN BOSCO S/N. - CENTRO POBLADO IRRIGACION SANTA ROSA.,LIMA,HUAURA,SAYAN,ESTACIONES DE SERVICIOS,C1:2400:GASOHOL 90 PLUS ,C1:4000:Diesel B5 S-50 ,C1:1160:GASOHOL 95 PLUS ,C1:1160:GASOHOL 98 PLUS ,,,,,,,8720.0,7/03/2019,INDEFINIDO,MIRIAN ZENAIDA ZAMUDIO HUERTA,0,-11.2169018,-77.4142176
35,202200131471,163767,163767-050-051022,20601399297,INVERSIONES KELMAIN S.A.C.,SECTOR YACUCUICA (REFERENCIA CARRETERA - AYACUCHO HUANTA KM 11),AYACUCHO,HUAMANGA,JESUS NAZARENO,ESTACIONES DE SERVICIOS,C1:8000:Diesel B5 S-50 ,C1:8000:GASOHOL 90 PLUS ,C1:4000:GASOHOL 95 PLUS C2:4000:GASOHOL 97 PLUS ,,,,,,,,24000.0,5/10/2022,INDEFINIDO,MAXIMINA PALOMINO VENTURA,0,-13.1590999,-74.2209399
36,202000056552,18586,18586-050-160520,20105300914,SERVICENTRO SECHURA E.I.R.L.,AV. PRIMAVERA URB. LA RIVERA S/N,PIURA,SECHURA,SECHURA,ESTACIONES DE SERVICIOS,C1:5000:Diesel B5 S-50 ,C1:5000:GASOHOL 84 PLUS ,C1:5000:GASOHOL 90 PLUS ,C1:5000:GASOHOL 95 PLUS ,,,,,,,20000.0,16/05/2020,INDEFINIDO,MENDOZA DE CURO FLORA,0,-5.5530021,-80.8213869
37,202000198646,101659,101659-050-301220,10286904799,ANDRES CORCINO PALOMINO CCORAHUA,AV. ANCCARA S/N. MZ H LT 7 Y 8 - BARRIO BELLAVISTA,HUANCAVELICA,ANGARAES,LIRCAY,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:4000:Diesel B5 S-50 ,C1:2000:GASOHOL 90 PLUS C2:2000:GASOHOL 95 PLUS ,,,,,,,,,8000.0,30/12/2020,INDEFINIDO,ANDRES CORCINO PALOMINO CCORAHUA,0,-12.9944858,-74.72379509999999
38,201900035423,92959,92959-050-080319,20407837178,ESTACION DE SERVICIO LOS MEDANOS S.A.C.,"CARRETERA HUACHO - SAYAN, MZ. D, LT. 4 - LOS MEDANOS, SECTOR IRRIGACION SANTA ROSA",LIMA,HUAURA,SAYAN,ESTACIONES DE SERVICIOS,C1:2833:GASOHOL 95 PLUS ,C1:2819:GASOHOL 98 PLUS ,C1:2899:GASOHOL 90 PLUS ,C1:2833:Diesel B5 S-50 ,,,,,,,11384.0,8/03/2019,INDEFINIDO,MIRIAN ZENAIDA ZAMUDIO HUERTA,0,-11.2348932,-77.3790965
39,202300086966,108444,108444-050-210423,20609536196,INVERSIONES PETROLUZ S.A.C.,CARRETERA MARGINAL KM. 43 SECTOR PUENTE PUCHARINI,JUNIN,CHANCHAMAYO,PERENE,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:5323:Diesel B5 S-50 ,C1:1786:GASOHOL REGULAR ,C1:1763:GASOHOL PREMIUM ,,,,,,,,8872.0,21/04/2023,INDEFINIDO,POMA YARO WALTER SAMUEL,0,-10.8812955,-75.06111469999999
40,202200081212,7255,7255-050-050522,20517849368,FULL OILS PETRO SOCIEDAD ANONIMA CERRADA-FULL OILS PETRO S.A.C.,AV. REVOLUCION N° 783 PRIMERA ZONA - COLLIQUE,LIMA,LIMA,COMAS,ESTACIONES DE SERVICIOS,C1:3000:GASOHOL 90 PLUS ,C1:3000:GASOHOL 95 PLUS ,C1:6000:Diesel B5 S-50 ,C1:6000:SIN PRODUCTO ,,,,,,,18000.0,5/05/2022,INDEFINIDO,ELVA GLADIS GUARDAMINO CHAPARRO,0,-11.9149149,-77.0347194
41,202300090587,147633,147633-050-130523,20603782756,ESTACION DE SERVICIOS AMAZONS TRAVELS E.I.R.L.,"MZ N1, LOTE 11, 12, 13 AA.HH. LA TUNA",AMAZONAS,CONDORCANQUI,NIEVA,ESTACIONES DE SERVICIOS,C1:3300:Diesel B5 S-50 ,C1:3145:GASOLINA REGULAR C2:1900:GASOLINA PREMIUM ,,,,,,,,,8345.0,13/05/2023,INDEFINIDO,WINNIE KIMBERLY SOLANGE SILVA CORONEL,720,-4.6040625,-77.8714375
42,202200062418,157600,157600-050-130522,10022880395,ZARATE CUNO MARIA FORTUNATA,"ESQUINA ENTRE LOS JIRONES ATAHUALPA Y TUPAC AMARU SUB LOTE 1-A, MZ. G",PUNO,MELGAR,AYAVIRI,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:3000:Diesel B5 S-50 ,C1:2000:GASOHOL 84 PLUS ,C1:2500:GASOHOL 90 PLUS ,C1:2500:GASOHOL 90 PLUS ,,,,,,,10000.0,13/05/2022,INDEFINIDO,ZARATE CUNO MARIA FORTUNATA,0,-14.8842942,-70.5889612
43,202200238410,7251,7251-050-110123,20606639270,INVERSION QUINTO LYR E.I.R.L.,"AV. JUAN VELASCO ALVARADO N° 811-813-815 Y 817, COOP. VALLE DE SHARON",LIMA,LIMA,SAN JUAN DE MIRAFLORES,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:1350:GASOHOL 90 PLUS ,C1:3000:GASOHOL 84 PLUS ,C1:3000:Diesel B5 S-50 ,C1:1550:GASOHOL 95 PLUS ,,,,,,,8900.0,11/01/2023,INDEFINIDO,LUIS ALBERTO CALDERON VALENCIA,120,-12.1722077,-76.9650961
44,201700068551,14380,14380-050-180517,20490575554,SERVICENTRO EL ARCO S.R.L.,AV. TAMBURCO S/N-URB. MIRAFLORES,APURIMAC,ABANCAY,TAMBURCO,ESTACIONES DE SERVICIOS,C1:4000:Diesel B5 S-50 ,C1:4000:Diesel B5 S-50 ,C1:1500:GASOHOL 84 PLUS ,C1:2000:GASOHOL 90 PLUS C2:1500:GASOHOL 95 PLUS ,,,,,,,13000.0,18/05/2017,INDEFINIDO,KARLA SADITH SANTA CRUZ VARGAS,0,-13.6240516,-72.8746323
45,202300072913,141616,141616-050-140423,20600834925,NEGOCIOS CORPORATIVOS MB S.A.C.,AV. TAHUANTINSUYO - BARRIO HUAYCHAUHUACCANA S/N,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,ESTACIONES DE SERVICIOS,C1:6000:Diesel B5 S-50 ,C1:3000:GASOHOL REGULAR ,,,,,,,,,9000.0,14/04/2023,INDEFINIDO,ISABEL CRISTINA BERTO HUAMAN,0,-13.6544169,-73.9502507
46,202300090148,97728,97728-050-040523,20610712216,GRUPO CAYNARACHI S.A.C.,CARRETERA TARAPOTO-YURIMAGUAS KM 55.06,SAN MARTIN,LAMAS,CAYNARACHI,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:1800:Diesel B5 S-50 ,C1:1240:Diesel B5 S-50 ,C1:1800:GASOLINA 90 ,C1:589:GASOLINA 84 ,,,,,,,5429.0,4/05/2023,INDEFINIDO,MEDINA RENGIFO MANUELA DE JESUS,0,-6.0069082,-76.240192
47,201800165796,138985,138985-050-231018,10462910741,YONY BEDRILLANA QUISPE,CARRETERA AYACUCHO-SECCELAMBRAS (ALTURA KM. 40),AYACUCHO,HUAMANGA,ACOCRO,ESTACIONES DE SERVICIOS,C1:5360:Diesel B5 S-50 ,C1:4000:GASOHOL 90 PLUS ,,,,,,,,,9360.0,23/10/2018,INDEFINIDO,YONY BEDRILLANA QUISPE,0,-13.2579213,-74.0761229
48,201800073962,7043,7043-050-070518,10199309825,LUCIO ARTURO CARRION CARRERA ,AV. LAS AMERICAS N° 2850,JUNIN,HUANCAYO,PILCOMAYO,ESTACIONES DE SERVICIOS,C1:10000:GASOHOL 95 PLUS ,C1:10000:Diesel B5 S-50 ,C1:10000:Diesel B5 S-50 ,C1:10000:GASOHOL 90 PLUS ,,,,,,,40000.0,7/05/2018,INDEFINIDO,LUCIO ARTURO CARRION CARRERA ,0,-12.0431084,-75.253896
49,202100193458,147933,147933-050-030921,20448092900,ETRACONSAN S.A.,"ESQUINA JR. ARENALES, JR. SANTA CRUZ Y AV. CIRCUNVALACION S/N",PUNO,SAN ANTONIO DE PUTINA,ANANEA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:9220:Diesel B5 S-50 ,C1:9220:Diesel B5 S-50 ,C1:3951:GASOHOL 95 PLUS ,C1:3951:GASOHOL 90 PLUS ,,,,,,,26342.0,3/09/2021,INDEFINIDO,PORTILLO MAMANI MOISES SALVADOR,0,-14.6777581,-69.53567579999999
50,202300086970,19898,19898-050-250423,10200257630,MAXIMILIANO JOAQUIN ATAO CAJA,"AV. JUAN SANTOS ATAHUALPA S/N KM. 93, SECTOR HUACARA",JUNIN,CHANCHAMAYO,SAN RAMON,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:3065:Diesel B5 S-50 ,C1:2000:GASOHOL PREMIUM C2:1650:GASOHOL REGULAR ,,,,,,,,,6715.0,25/04/2023,INDEFINIDO,MAXIMILIANO JOAQUIN ATAO CAJA,720,-11.1260175,-75.3613535
